File Path,Size (bytes),Last Modified
/Users/bn/Downloads/8.5.0.0-IM-SCaDSREPOSITORY-DM-IF011/pev-server.jar,225366,2024-06-11 02:22:48
/Users/bn/Downloads/8.5.0.0-IM-SCaDSREPOSITORY-DM-IF011/com.spss.mgmt.pev.rt.ui_8.5.0.0.jar,54863,2024-06-03 01:27:46
/Users/bn/Downloads/cads-jars/pevreportingviews.jar,7286,2023-04-21 08:24:44
/Users/bn/Downloads/cads-jars/pev-server.jar,224290,2023-04-21 08:24:44
/Users/bn/Downloads/cads-jars/pev-server-jaxws.jar,18857,2023-04-21 08:24:44
/Users/bn/Downloads/cads-jars/pev-client.jar,514703,2023-04-21 07:55:38
/Users/bn/Downloads/qa-ws-automations/lib/pev-client.jar,514691,2023-11-18 20:16:46
/Users/bn/Downloads/IBM_SPSS_Collaboration_and_Deployment_Services_8.4.ear/pev.war/WEB-INF/wsdl/pev-exception.xsd,4602,2024-06-17 00:46:20
/Users/bn/Downloads/IBM_SPSS_Collaboration_and_Deployment_Services_8.4.ear/pev.war/WEB-INF/wsdl/pev.wsdl,16243,2024-06-17 00:46:20
/Users/bn/Downloads/IBM_SPSS_Collaboration_and_Deployment_Services_8.4.ear/pev.war/WEB-INF/wsdl/pev.xsd,48711,2024-06-17 00:46:20
/Users/bn/Downloads/IBM_SPSS_Collaboration_and_Deployment_Services_8.4.ear/pev.war/WEB-INF/wsdl/pev-types.xsd,3953,2024-06-17 00:46:20
/Users/bn/Downloads/IBM_SPSS_Collaboration_and_Deployment_Services_8.4.ear/pev.war/WEB-INF/wsdl/pev-remote.xsd,10614,2024-06-17 00:46:20
/Users/bn/Downloads/IBM_SPSS_Collaboration_and_Deployment_Services_8.4.ear/scoring.war/WEB-INF/wsdl/pev-types.xsd,3953,2024-06-17 00:46:20
